test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;tPar8;speedUp8;fpr;
1000;0.000;0.000;nan;0.000;nan;0.016;0.000;0.000;nan;1.000;
1112000;9.020;4.976;1.813;3.569;2.527;3.011;2.996;2.814;3.205;1.000;
2223000;17.726;10.985;1.614;7.153;2.478;5.978;2.965;5.596;3.168;1.000;
3334000;28.363;18.438;1.538;11.163;2.541;10.038;2.826;9.929;2.857;1.000;
4445000;36.575;22.558;1.621;16.238;2.252;12.990;2.816;11.988;3.051;1.000;
5556000;48.355;26.981;1.792;18.064;2.677;15.743;3.072;14.597;3.313;1.000;
6667000;55.575;34.671;1.603;26.086;2.130;21.123;2.631;19.966;2.783;1.000;
7778000;94.234;60.461;1.559;30.043;3.137;29.843;3.158;24.077;3.914;1.000;
8889000;90.065;50.697;1.777;35.276;2.553;30.666;2.937;26.194;3.438;1.000;
10000000;109.226;53.385;2.046;35.635;3.065;31.365;3.482;27.971;3.905;1.000;
