test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;tPar8;speedUp8;tPar10;speedUp10;tPar12;speedUp12;tPar14;speedUp14;tPar16;speedUp16;fpr;
1000;0.009;0.005;1.800;0.004;2.250;0.003;3.000;0.003;3.000;0.002;4.500;0.002;4.500;0.002;4.500;0.002;4.500;0.059;
1112000;9.854;4.873;2.022;2.507;3.931;1.985;4.964;1.729;5.699;1.605;6.140;1.273;7.741;1.166;8.451;1.169;8.429;0.050;
2223000;19.498;9.739;2.002;5.097;3.825;3.760;5.186;3.286;5.934;2.938;6.636;2.625;7.428;2.769;7.042;2.800;6.964;0.050;
3334000;29.462;14.703;2.004;8.782;3.355;8.023;3.672;7.341;4.013;6.514;4.523;5.808;5.073;5.028;5.860;4.669;6.310;0.050;
4445000;38.964;19.481;2.000;10.114;3.852;7.939;4.908;7.455;5.227;6.561;5.939;6.166;6.319;5.373;7.252;4.432;8.792;0.051;
5556000;48.729;24.425;1.995;12.341;3.949;9.880;4.932;8.477;5.748;7.102;6.861;6.703;7.270;6.250;7.797;6.049;8.056;0.051;
6667000;58.420;29.235;1.998;15.186;3.847;12.079;4.836;10.416;5.609;9.242;6.321;8.061;7.247;7.219;8.093;6.479;9.017;0.051;
7778000;68.629;34.089;2.013;17.447;3.934;14.144;4.852;11.701;5.865;10.953;6.266;9.427;7.280;8.524;8.051;8.354;8.215;0.051;
8889000;77.865;39.029;1.995;20.024;3.889;15.466;5.035;13.090;5.948;12.836;6.066;11.030;7.059;9.694;8.032;8.614;9.039;0.051;
10000000;87.639;43.931;1.995;22.497;3.896;17.258;5.078;15.560;5.632;13.376;6.552;12.012;7.296;10.986;7.977;9.843;8.904;0.051;
