test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;tPar8;speedUp8;tPar10;speedUp10;tPar12;speedUp12;tPar14;speedUp14;tPar16;speedUp16;fpr;
1000;0.009;0.006;1.500;0.004;2.250;0.003;3.000;0.004;2.250;0.002;4.500;0.002;4.500;0.002;4.500;0.002;4.500;0.052;
1112000;10.087;5.018;2.010;2.621;3.849;1.994;5.059;1.646;6.128;1.462;6.899;1.332;7.573;1.232;8.188;1.172;8.607;0.050;
2223000;19.812;10.041;1.973;5.229;3.789;3.943;5.025;3.296;6.011;2.895;6.844;2.682;7.387;2.512;7.887;2.448;8.093;0.051;
3334000;29.808;15.042;1.982;7.824;3.810;5.921;5.034;4.945;6.028;4.400;6.775;4.054;7.353;3.953;7.541;3.892;7.659;0.051;
4445000;40.081;20.161;1.988;10.245;3.912;7.788;5.147;6.652;6.025;5.952;6.734;5.404;7.417;5.334;7.514;5.547;7.226;0.054;
5556000;51.512;25.727;2.002;13.965;3.689;10.329;4.987;9.031;5.704;8.510;6.053;8.033;6.413;7.650;6.734;7.532;6.839;0.050;
6667000;59.496;30.527;1.949;16.228;3.666;12.773;4.658;11.298;5.266;10.403;5.719;9.876;6.024;9.502;6.261;10.185;5.842;0.048;
7778000;72.698;35.104;2.071;18.059;4.026;14.049;5.175;12.309;5.906;11.820;6.150;11.083;6.559;10.848;6.702;10.864;6.692;0.055;
8889000;79.876;40.247;1.985;20.860;3.829;15.903;5.023;13.514;5.911;12.624;6.327;12.602;6.338;12.594;6.342;12.866;6.208;0.054;
10000000;88.309;45.060;1.960;23.278;3.794;17.863;4.944;15.376;5.743;14.291;6.179;14.161;6.236;13.722;6.436;13.644;6.472;0.052;
