test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;tPar8;speedUp8;tPar10;speedUp10;tPar12;speedUp12;tPar14;speedUp14;tPar16;speedUp16;errors;fpr
10000;0.0819998;0.049;1.67346;0.0310001;2.64514;0.0309999;2.64516;0.016;5.12498;0.0159998;5.12505;0.00899982;9.11126;0.016;5.12498;0.0150001;5.46661;983;0.00983
213877;1.99;0.986;2.01826;0.48;4.14583;0.38;5.23684;0.316;6.29747;0.251;7.92828;0.22;9.04545;0.188;10.5851;0.173;11.5029;982;0.00982
417754;4.37;1.88;2.32447;0.932;4.68884;0.737;5.92944;0.581;7.52152;0.518;8.4363;0.439;9.95444;0.44;9.93182;0.345;12.6667;1016;0.01016
621631;5.92;2.776;2.13256;1.399;4.23159;1.066;5.55347;0.879;6.73493;0.73;8.10959;0.638;9.279;0.618;9.57929;0.517;11.4507;924;0.00924
825508;7.801;3.667;2.12735;1.838;4.24429;1.455;5.36151;1.181;6.60542;0.972;8.02572;0.879;8.87486;0.769;10.1443;0.68;11.4721;980;0.0098
1029385;9.813;4.601;2.1328;2.301;4.26467;1.778;5.51912;1.437;6.82881;1.208;8.12334;1.094;8.96983;1.035;9.48116;0.869;11.2923;1028;0.01028
1233262;11.727;5.498;2.13296;2.744;4.27369;2.115;5.54468;1.744;6.7242;1.556;7.53663;1.386;8.46104;1.202;9.75624;1.03;11.3854;971;0.00971
1437139;13.691;6.417;2.13355;3.193;4.28782;2.494;5.48958;2.014;6.79791;1.667;8.21296;1.555;8.8045;1.416;9.66878;1.196;11.4473;1031;0.01031
1641016;15.715;7.335;2.14247;3.656;4.29841;2.866;5.48325;2.285;6.87746;1.994;7.88114;1.836;8.55937;1.692;9.28783;1.361;11.5467;986;0.00986
1844893;17.83;8.244;2.16279;4.087;4.36261;3.162;5.63884;2.546;7.00314;2.265;7.87196;2.013;8.85743;1.818;9.80748;1.554;11.4736;1104;0.01104
2048770;19.72;9.12;2.16228;4.546;4.33788;3.475;5.67482;2.953;6.67795;2.439;8.08528;2.181;9.04172;1.945;10.1388;1.741;11.3268;1019;0.01019
2252647;21.556;10.07;2.14062;5.013;4.30002;3.91;5.51304;3.163;6.81505;2.681;8.04028;2.33;9.2515;2.391;9.01547;2.008;10.7351;1079;0.01079
2456524;23.18;10.919;2.12291;5.472;4.23611;4.214;5.50071;3.647;6.35591;2.845;8.14763;2.511;9.23138;2.744;8.44752;2.212;10.4792;1040;0.0104
2660401;25.568;11.886;2.1511;5.919;4.31965;4.643;5.50678;3.863;6.61869;3.382;7.56002;2.933;8.71735;2.703;9.45912;2.289;11.1699;1106;0.01106
2864278;27.73;12.855;2.15714;6.371;4.35253;4.965;5.5851;3.883;7.14139;3.44;8.06105;3.163;8.76699;2.846;9.7435;2.59;10.7066;1017;0.01017
3068155;29.498;13.72;2.15;6.803;4.33603;5.333;5.53122;4.296;6.86639;3.645;8.09273;3.489;8.45457;3.027;9.74496;2.666;11.0645;1074;0.01074
3272032;31.348;14.591;2.14845;7.281;4.30545;5.699;5.50061;4.477;7.00201;3.853;8.136;3.424;9.15537;3.253;9.63664;2.988;10.4913;1069;0.01069
3475909;33.966;15.537;2.18614;7.71;4.40545;5.958;5.70091;4.933;6.88547;4.021;8.44715;3.739;9.08425;3.577;9.49567;3.259;10.4222;1149;0.01149
